"","title","releaseYear","genre","sequel","hitFlop"
"1129","Ek Thi Daayan",2013,"Horror | Romance | Thriller","0",3
"1138","Grand Masti",2013,"Comedy | Drama | Romance","1",7
"1154","Jolly LLB",2013,"Comedy | Drama","0",6
"1172","Fukrey",2013,"Comedy | Drama | Romance","0",5
"1176","Madras Cafe",2013,"Action | Drama | History","0",4
"1192","Shuddh Desi Romance",2013,"Comedy | Drama | Romance","0",6
"627","Jai Ho",2014,"Action | Drama","0",5
"1080","Singham Returns",2014,"Action","1",7
"1093","PK",2014,"Comedy | Drama | Fantasy","0",9
"1114","Kick",2014,"Action | Comedy | Romance","0",8
"1115","2 States",2014,"Drama | Romance","0",7
"1137","Happy New Year",2014,"Action | Comedy | Crime","0",7
"1141","Holiday",2014,"Action | Romance | Thriller","0",6
"1145","Gunday",2014,"Action | Crime | Drama","0",5
"1148","Ragini MMS 2",2014,"Horror | Romance | Thriller","1",6
"1166","Main Tera Hero",2014,"Action | Comedy | Romance","0",5
"1181","Bang Bang",2014,"Action | Adventure | Comedy","0",5
"1191","Highway",2014,"Drama | Romance","0",3
"1194","Mary Kom",2014,"Biography | Drama | Sport","0",5
"1206","Heropanti",2014,"Action | Romance","0",6
"1211","Hasee Toh Phasee",2014,"Comedy | Romance","0",4
"1222","Queen",2014,"Adventure | Comedy | Drama","0",6
"1230","Yaariyan",2014,"Drama | Romance","0",4
"1231","Haider",2014,"Crime | Drama | Romance","0",4
"1240","Mardaani",2014,"Action | Drama | Thriller","0",4
"1248","Bhoothnath Returns",2014,"Comedy | Drama | Fantasy","1",3
"1251","Khoobsurat",2014,"Comedy | Romance","0",3
"1256","Hate Story 2",2014,"Drama | Romance | Thriller","2",4
"1262","Humpty Sharma Ki Dulhania",2014,"Comedy | Drama | Romance","0",6
