"","Movie_Title","Action","Animation","Mystery","Comedy","Drama","Family","Horror","Romance","Thriller","Adventure","SciFi"
"258","Murder",0,0,0,0,1,0,0,0,1,0,0
"259","Rang De Basanti",0,0,0,0,1,0,0,0,0,0,0
"260","Masti",0,0,1,1,0,0,0,0,0,0,0
"261","Hawas",0,0,0,0,1,0,0,1,1,0,0
"262","Krishna Cottage",0,0,0,1,0,0,1,0,0,0,0
"263","Muskaan",0,0,0,0,0,0,0,1,0,0,0
"264","Shabd",0,0,0,0,1,0,0,0,0,0,0
"265","Bardaasht",0,0,0,0,1,0,0,0,0,0,0
"266","Shart: The Challenge",0,0,0,0,0,0,0,1,0,0,0
"267","Run",1,0,0,1,0,0,0,1,0,0,0
"268","Gayab",0,0,0,0,0,0,0,0,0,0,0
"269","Shaadi Ka Laddoo",0,0,0,1,0,0,0,0,0,0,0
"270","Amu",0,0,0,0,1,0,0,0,0,0,0
"271","Girlfriend",0,0,0,0,1,0,0,0,0,0,0
"272","Garv: Pride and Honour",1,0,0,0,1,0,0,0,0,0,0
"273","WOH",0,0,0,0,1,0,0,0,1,0,0
"274","Dus",1,0,0,0,0,0,0,0,1,0,0
"275","Kaal",0,0,1,0,0,0,0,0,1,1,0
"276","Police Force: An Inside Story",1,0,0,0,1,0,0,0,0,0,0
"277","Vaastu Shastra",0,0,1,0,0,0,1,0,0,0,0
"278","Elaan",1,0,0,0,0,0,0,0,0,0,0
"279","Rakht",0,0,0,0,0,0,1,0,1,0,0
"280","Mujhse Shaadi Karogi",0,0,0,1,0,0,0,1,0,0,0
"281","Aitraaz",0,0,0,0,1,0,0,0,1,0,0
"282","Chot [Aaj Isko, Kal Tereko]",1,0,0,0,0,0,0,0,0,0,0
"283","Mere Jeevan Saathi",0,0,0,0,0,0,0,1,0,0,0
"284","Phir Hera Pheri",0,0,0,1,0,0,0,0,0,0,0
"285","Baabul",0,0,0,0,1,1,0,1,0,0,0
"286","Hyderabad Blues 2",0,0,0,1,1,0,0,0,0,0,0
"287","Morning Raga",0,0,0,0,1,0,0,0,0,0,0
"288","Revati",0,0,0,0,1,0,0,0,0,0,0
"289","Viruddh... Family Comes First",0,0,0,0,1,0,0,0,0,0,0
"290","Veer-Zaara",0,0,0,0,1,0,0,1,0,0,0
"291","Julie",0,0,0,0,1,0,0,0,0,0,0
"292","Dhoom",1,0,0,0,0,0,0,0,1,1,0
"293","Fida",0,0,0,0,0,0,0,1,1,1,0
"294","Phir Milenge",0,0,0,0,1,0,0,0,0,0,0
"295","Rok Sako To Rok Lo",0,0,0,0,0,0,0,1,0,1,0
"296","Lakeer - Forbidden Lines",1,0,0,0,1,0,0,1,0,0,0
"297","Aakhri Inteqam",1,0,0,0,0,0,0,0,0,0,0
"298","Tauba Tauba",0,0,0,1,1,0,0,0,0,0,0
"299","Dobara",0,0,0,0,1,0,0,0,0,0,0
"300","Madhoshi",0,0,1,0,1,0,0,0,0,0,0
"301","Musafir",1,0,0,0,1,0,0,0,0,0,0
"302","Popcorn Khao! Mast Ho Jao",0,0,0,1,1,0,0,1,0,0,0
"303","Shaadi Karke Phas Gaya Yaar",0,0,0,0,0,0,0,1,0,0,0
"304","Tumsa Nahin Dekha",0,0,0,0,0,0,0,1,0,0,0
"305","Sarkar",1,0,0,0,1,0,0,0,0,0,0
"306","AK 47",1,0,0,0,0,0,0,0,1,0,0
"307","Hatya: The Murder",1,0,0,0,0,0,0,0,0,0,0
"308","Krrish",1,0,0,0,0,0,0,1,0,1,0
"309","Naach",0,0,0,0,1,0,0,0,0,0,0
"310","Padmashree Laloo Prasad Yadav",0,0,0,1,0,0,0,0,0,0,0
"311","Shukriya: Till Death Do Us Apart",0,0,0,0,1,1,0,0,0,0,0
"312","Taarzan: The Wonder Car",1,0,0,0,1,0,0,0,0,0,0
"313","Jo Bole So Nihaal",1,0,0,0,0,0,0,0,0,0,0
"314","Family: Ties of Blood",1,0,0,0,1,0,0,0,0,0,0
"315","Hulchul",1,0,0,1,1,0,0,0,0,0,0
"316","Khamoshh... Khauff Ki Raat",0,0,0,0,0,0,0,0,1,0,0
"317","Parineeta",0,0,0,0,1,0,0,1,0,0,0
"318","Let's Enjoy",0,0,0,1,0,0,0,0,0,0,0
"319","Insan",0,0,0,0,1,0,0,0,0,0,0
"320","Kisse Pyaar Karo?n",1,0,0,1,0,0,0,0,0,0,0
"321","Silsiilay",0,0,0,0,1,0,0,0,0,0,0
"322","Fanaa",0,0,0,0,1,0,0,1,0,0,0
"323","Pyaar Mein Twist",0,0,0,1,1,0,0,0,0,0,0
"324","Wajahh: A Reason to Kill",0,0,0,0,0,0,0,0,1,0,0
"325","Dhoom:2",1,0,0,0,0,0,0,0,1,0,0
"326","Mulaqaat",0,0,0,0,1,0,0,0,1,0,0
"327","Dil Jo Bhi Kahey...",0,0,0,0,0,0,0,1,0,0,0
"328","Kis Kis Ki Kismat",0,0,0,1,0,0,0,0,0,0,0
"329","Vaada",0,0,1,0,1,0,0,1,0,0,0
"330","Rog",0,0,1,0,0,0,0,1,1,0,0
"331","Milenge Milenge",0,0,0,0,1,0,0,1,0,0,0
"332","Naina",0,0,1,0,1,0,1,0,0,0,0
"333","Page 3",0,0,0,0,1,0,0,0,0,0,0
"334","A Sublime Love Story: Barsaat",0,0,0,0,0,0,0,1,0,0,0
"335","Blackmail",1,0,0,0,1,0,0,0,1,0,0
"336","Deewane Huye Paagal",0,0,0,1,0,0,0,1,0,0,0
"337","Fareb",0,0,0,0,1,0,0,0,1,0,0
"338","Humko Deewana Kar Gaye",0,0,0,0,0,0,0,1,0,0,0
"339","Karam",0,0,0,0,0,0,0,0,1,0,0
"340","Main Aisa Hi Hoon",0,0,0,0,1,0,0,0,0,0,0
"341","Tango Charlie",1,0,0,0,1,0,0,0,0,0,0
"342","Tathastu",0,0,0,0,1,0,0,0,0,0,0
"343","Jurm",0,0,0,0,0,0,0,0,1,0,0
"344","Sheesha",0,0,0,0,1,0,0,1,1,0,0
"345","Kiss Kis Ko",0,0,0,0,0,0,0,0,0,0,0
