"","Movie_Title","Action","Animation","Mystery","Comedy","Drama","Family","Horror","Romance","Thriller","Adventure","SciFi"
"264","Home on the Range",0,1,0,1,0,1,0,0,0,0,0
"265","Allegiant",1,0,1,0,0,0,0,0,1,1,1
"266","Real Steel",1,0,0,0,1,0,0,0,0,0,1
"267","The Smurfs 2",0,1,0,1,0,1,0,0,0,1,0
"268","Speed 2: Cruise Control",1,0,0,0,0,0,0,1,1,0,0
"269","Ender's Game",1,0,0,0,0,0,0,0,0,0,1
"270","Live Free or Die Hard",1,0,0,0,0,0,0,0,1,1,0
"271","The Lord of the Rings: The Fellowship of the Ring",1,0,0,0,1,0,0,0,0,1,0
"272","Around the World in 80 Days",1,0,0,1,0,0,0,0,0,1,0
"273","Ali",0,0,0,0,1,0,0,0,0,0,0
"274","The Cat in the Hat",0,0,0,1,0,1,0,0,0,1,0
"275","I, Robot",1,0,1,0,0,0,0,0,1,0,1
"276","Kingdom of Heaven",1,0,0,0,1,0,0,0,0,1,0
"277","Stuart Little",0,0,0,1,0,1,0,0,0,1,0
"278","The Princess and the Frog",0,1,0,0,0,1,0,1,0,0,0
"279","The Martian",0,0,0,0,1,0,0,0,0,1,1
"280","10,000 B.C.            ",0,0,0,1,0,0,0,0,0,0,0
"281","The Island",1,0,0,0,0,0,0,1,1,1,1
"282","Town & Country",0,0,0,1,0,0,0,1,0,0,0
"283","Gone in Sixty Seconds",1,0,0,0,0,0,0,0,1,0,0
"284","Gladiator",1,0,0,0,1,0,0,1,0,0,0
"285","Minority Report",1,0,1,0,0,0,0,0,1,0,1
"286","Harry Potter and the Chamber of Secrets",0,0,1,0,0,1,0,0,0,1,0
"287","Casino Royale",1,0,0,0,0,0,0,0,1,1,0
"288","Planet of the Apes",1,0,0,0,0,0,0,0,1,1,1
"289","Terminator 2: Judgment Day",1,0,0,0,0,0,0,0,0,0,1
"290","Public Enemies",0,0,0,0,1,0,0,1,0,0,0
"291","American Gangster",0,0,0,0,1,0,0,0,0,0,0
"292","True Lies",1,0,0,1,0,0,0,0,1,0,0
"293","The Taking of Pelham 1 2 3",1,0,0,0,0,0,0,0,1,0,0
"294","Little Fockers",0,0,0,1,0,0,0,1,0,0,0
"295","The Other Guys",1,0,0,1,0,0,0,0,0,0,0
"296","Eraser",1,0,1,0,1,0,0,0,1,0,0
"297","Django Unchained",0,0,0,0,1,0,0,0,0,0,0
"298","The Hunchback of Notre Dame",0,1,0,0,1,1,0,1,0,0,0
"299","The Emperor's New Groove",0,1,0,1,0,1,0,0,0,1,0
"300","The Expendables 2",1,0,0,0,0,0,0,0,1,1,0
"301","National Treasure",1,0,1,1,0,1,0,0,0,1,0
"302","Eragon",1,0,0,0,0,1,0,0,0,1,0
"303","Where the Wild Things Are",0,0,0,0,1,1,0,0,0,1,0
"304","Pan",0,0,0,0,0,1,0,0,0,1,0
"305","Epic",0,1,0,0,0,1,0,0,0,1,0
